code,nombre,marca,categoria,kcal_100g,proteinas_100g,grasas_100g,carbohidratos_100g,alergenos,popularidad
4056489698647,Vinagre balsámico de módena y trufa,Deluxe,aceites_salsas,265.0,1.1,0.0,61.9,,1
20194819,Vinagre de Jerez Reserva DOP,Kania,aceites_salsas,26.0,0.0,0.0,1.1,,1
20208479,Vinagre de Manzana,Kania,aceites_salsas,16.0,0.0,0.0,0.1,en:sulphur-dioxide-and-sulphites,24900000008
20564933,Vinagre de arroz,Vitasia,aceites_salsas,15.0,0.0,0.0,0.0,,21950000003
20580582,Vinagre de moscatel,Deluxe,aceites_salsas,100.0,0.0,0.0,25.0,en:sulphur-dioxide-and-sulphites,2
20810580,Vine leaves with rice,1001 Delights,platos_preparados,107.0,1.7,4.8,12.0,,21950000001
20040635,Vintage Cheddar,Valley Spire,yogures,416.0,25.4,34.9,0.1,en:milk,21900000003
4056489183228,Walnüsse in der Schale,"Alesto, Lidl",frutos_secos_semillas,711.0,18.1,67.8,4.0,en:nuts,23900000007
4056489942344,Wasabi Brown Rice Snack,Vitasia,snacks_dulces,442.0,7.4,17.0,62.3,en:gluten|en:milk|en:mustard|en:nuts,24950000017
4056489156185,Way to go dark chocolate,"Weinrich,Lidl,Fin Carré",snacks_dulces,570.0,7.4,42.6,33.5,,23950000001
4056489363606,Weichkäse,Landjunker,carne,234.0,18.0,18.0,0.0,,1
20368531,Weisser Spargel,"Deluxe, Lidl Deluxe",verdura,17.0,1.6,0.5,1.8,,20900000004
20368197,White Chocolate,fin CARRE,snacks_dulces,539.0,7.2,30.0,59.7,en:gluten|en:milk|en:milk,24990000074
20452728,White Chocolate & Cranberries,"Lidl,Merba,Sondey",snacks_dulces,490.0,5.1,22.9,64.4,en:apple|en:gluten|en:milk|en:soybeans,24950000031
20696405,Wiesenlander Cheese Chilli & Peppers,Alpen Fest,yogures,351.0,27.0,27.0,0.0,en:milk,23900000007
20320423,Wok vegetable thai,VitAsia,platos_preparados,57.0,1.5,3.3,4.2,en:mustard,1
4056489314851,"Wortel, Mango, Banaan & Appel","Bio Organic, Lidl, Lupilu",snacks_dulces,58.0,0.8,0.5,11.6,,22900000003
