code,nombre,marca,categoria,kcal_100g,proteinas_100g,grasas_100g,carbohidratos_100g,alergenos,popularidad
8480000847188,Napolitanas crema cacao,Hacendado,snacks_dulces,449.0,6.1,25.0,49.0,en:eggs|en:gluten|en:milk|en:nuts|en:soybeans,20900000001
8480000233745,Napolitanas de crema,Hacendado,snacks_dulces,386.5,7.0,21.0,44.0,,22950000018
8480000060181,Naranja,Hacendado,bebidas,6.5,0.1,0.0,1.1,,6
8480000293541,Naranja Fresh Gas,hacendado,bebidas,32.0,0.1,0.0,7.7,,1
8480000289735,Naranja Fresh gas,Hacendado,bebidas,21.0,0.1,0.0,4.8,,1
8420102377275,Naranja Navelina,Hacendado,fruta,42.0,0.8,0.0,8.6,,23900000002
8435067405185,Naranja Valenciana,Hacendado,fruta,42.0,0.8,0.0,8.6,,1
8480000280510,Naranja con gas,Hacendado,bebidas,32.0,0.0,0.0,8.0,,0
8435067405192,Naranja de zumo,Hacendado,fruta,42.0,0.8,0.0,8.6,,1
8402001022616,Naranja sin azúcares añadidos,Hacendado,bebidas,22.0,0.3,0.0,5.0,,24950000028
8431603002146,Naranjas,Hacendado,fruta,42.0,0.8,0.0,8.6,,1
8420102337880,Naranjas,Hacendado,fruta,42.0,0.8,0.0,8.6,,2
8413910310305,Naranjas,Hacendado,fruta,42.0,0.8,0.0,8.6,,20900000006
8431603006533,Naranjas,Hacendado,fruta,42.0,0.8,0.0,8.6,,1
8412276374914,Naranjas,Hacendado,fruta,42.0,0.8,0.0,8.6,,1
8425174015391,Naranjas 3 KG,Hacendado,fruta,42.0,0.8,0.0,8.6,,20900000001
8423466080140,Naranjas Zumo 5Kg,Hacendado,fruta,42.0,0.8,0.0,8.6,,1
8413910155005,Naranjas de zumo,Hacendado,fruta,42.0,0.8,0.0,8.6,,20900000001
8425174015834,Naranjas zumo,Hacendado,fruta,42.0,0.8,0.0,8.6,,6
8402001024412,Nata Montada Chantilly,Hacendado,lacteos,311.0,1.9,27.0,15.0,,24950000032
8480000643155,Nata choco,Hacendado,snacks_dulces,255.0,3.1,15.1,26.2,,0
8480000707116,Nata choco,hacendado,snacks_dulces,251.0,3.2,14.9,25.5,en:milk|en:soybeans,24900000009
8480000103208,Nata ligera cocinar sin lactosa,Hacendado,lacteos,163.0,2.0,15.0,5.0,en:milk,24950000023
8480000101617,Nata ligera para cocinar,Hacendado,lacteos,163.0,2.0,15.0,5.0,en:milk,24950000024
8480000884640,Nata ligera para cocinar,Hacendado,lacteos,163.0,2.0,15.0,5.0,en:milk,1
8480000135988,Nata montada,Hacendado,lacteos,311.0,1.9,27.0,15.0,en:milk,23950000015
8480000104168,Nata montada azucarada,Hacendado,lacteos,304.0,2.1,27.0,13.0,en:milk,21900000004
8480000047960,Nata montada azucarada chantilly,Hacendado,lacteos,320.0,2.3,28.0,16.0,en:milk,24900000007
8480000102768,Nata montar,Hacendado,lacteos,335.0,2.0,35.0,3.1,,24900000009
8480000102751,Nata para montar,Hacendado,lacteos,335.0,2.0,35.0,3.1,en:milk,24950000020
8480000682444,Natilla de chocolate,hacendado,snacks_dulces,130.0,4.0,4.1,19.0,en:milk,21900000001
8480000681973,Natilla sabor vainilla,Hacendado,snacks_dulces,150.0,3.2,7.7,17.0,,19900000005
8480000682352,Natillas,Hacendado,lacteos,118.0,3.3,4.4,16.3,en:milk,19900000001
8480000683649,Natillas,hacendado,lacteos,124.0,2.9,4.4,18.1,,0
8480000323286,Natillas caseras,Hacendado,snacks_dulces,353.0,0.4,1.0,85.6,,1
8480000323293,Natillas caseras con canela molida,Hacendado,lacteos,358.0,0.0,0.0,89.0,,24900000014
8480000681393,"Natillas chocolate 0,9%",Hacendado,lacteos,63.0,4.2,0.9,9.6,en:gelatin|en:milk|en:soybeans,21900000003
8480000682666,Natillas galleta,Creme,lacteos,145.6,3.8,4.0,24.9,en:gluten|en:milk|en:sulphur-dioxide-and-sulphites,24950000027
8480000681386,Natillas sabor chocolate,Hacendado,lacteos,122.8,3.6,3.6,18.7,en:gelatin|en:milk|en:soybeans,24950000018
8480000681416,Natillas sabor coco,Hacendado,lacteos,133.0,3.7,4.4,19.2,,22900000002
8480000681409,Natillas sabor fresa,Hacendado,lacteos,113.4,3.2,3.8,16.5,en:milk,18900000001
8480000681379,Natillas sabor vainilla,Hacendado,lacteos,127.0,3.8,4.4,18.1,en:milk,24950000021
8480000681539,Natillas sabor vainilla,Hacendado,lacteos,133.0,3.7,4.4,19.2,,0
8480000140340,Natur active,Hacendado,snacks_dulces,425.0,6.3,16.0,64.0,en:gluten,21900000004
