code,nombre,marca,categoria,kcal_100g,proteinas_100g,grasas_100g,carbohidratos_100g,alergenos,popularidad
2968737002958,Lacon,Carrefour,carne,109.0,19.5,3.1,1.0,,0
8431876187397,Ladrillo blanco,Carrefour,snacks_dulces,359.0,1.7,1.3,85.0,en:gluten|en:milk,0
3560071261603,Lait de COCO,"Carrefour BIO, Carrefour",lacteos,210.0,1.2,21.0,3.3,,24990000072
8431876297188,Laminas de lasaña sin gluten,Carrefour,pasta_arroz,362.0,6.1,1.6,80.0,en:none,1
8431876209631,Langostino Vannamei,Carrefour,pescado_marisco,95.0,20.0,1.4,0.0,en:crustaceans|en:fish|en:molluscs|en:sulphur-dioxide-and-sulphites,2
8431876136753,Langostino Vannamei Crudo,Carrefour,pescado_marisco,97.0,22.0,1.0,0.0,en:crustaceans|en:sulphur-dioxide-and-sulphites,0
8431876209648,Langostino Vannamei cocido,Carrefour,pescado_marisco,93.0,20.1,1.4,0.5,en:crustaceans|en:fish|en:molluscs|en:sulphur-dioxide-and-sulphites,0
8431876282924,Langostino cocido,"Carrefour BIO, Carrefour",pescado_marisco,96.0,22.0,0.8,0.0,en:fish|en:molluscs|en:sulphur-dioxide-and-sulphites|es:marisco,1
8431876236095,Langostino cocido extra grande,Carrefour,pescado_marisco,95.0,20.0,1.4,0.0,en:crustaceans|en:fish|en:molluscs|en:sulphur-dioxide-and-sulphites,0
8431876282917,Langostino crudo,Carrefour BIO,pescado_marisco,95.0,19.0,1.4,1.6,en:fish|en:molluscs|en:sulphur-dioxide-and-sulphites|es:marisco,1
8431876242409,Langostino crudo,Carrefour,pescado_marisco,94.0,20.0,1.1,0.9,en:crustaceans|en:sulphur-dioxide-and-sulphites,1
8431876236101,Langostino crudo 24/32,Carrefour,pescado_marisco,97.0,22.0,1.0,0.0,en:crustaceans|en:sulphur-dioxide-and-sulphites,1
8410547946969,Langostino crudo 60/68,Carrefour,pescado_marisco,97.0,23.0,0.6,0.0,en:crustaceans|en:sulphur-dioxide-and-sulphites,0
8431876209655,Langostino marfil,Carrefour,pescado_marisco,95.0,20.0,1.4,0.0,en:crustaceans|en:fish|en:molluscs|en:sulphur-dioxide-and-sulphites,0
8431876223200,Langostino salvaje cocido,Carrefour,pescado_marisco,91.0,20.0,1.0,0.0,en:crustaceans|en:fish|en:molluscs|en:sulphur-dioxide-and-sulphites,0
8431876281958,Langostino vannamei cocido,Carrefour,pescado_marisco,93.0,20.0,1.4,0.0,en:crustaceans|en:fish|en:molluscs|en:sulphur-dioxide-and-sulphites,1
8431876223194,Langostino vannamei crudo 32/40,Carrefour,pescado_marisco,97.0,22.0,1.0,0.0,en:crustaceans|en:sulphur-dioxide-and-sulphites,1
3560071172114,Langostinos Ajo y perejil,Carrefour,pescado_marisco,91.0,17.0,2.1,1.1,en:crustaceans,1
8412480211036,Langostinos pelados y cocidos,Royal,pescado_marisco,66.0,13.0,0.5,0.5,en:crustaceans,1
3560070573073,Lapinou,Carrefour Kids,snacks_dulces,411.0,6.2,19.0,53.0,en:eggs|en:gluten|en:milk|en:soybeans,24900000026
3560071256791,Las Bandejas Fresa,Carrefour,snacks_dulces,362.0,4.8,3.7,77.0,en:eggs|en:gluten,24950000055
3245412038020,Las Tabletas -POCKET- CHOCOLATE NEGRO,Carrefour,snacks_dulces,511.0,6.9,23.0,67.0,en:gluten|en:milk|en:soybeans,21950000007
3560070759354,Las Tabletas CHOCOLATE NEGRO,Carrefour,snacks_dulces,511.0,6.9,23.0,67.0,en:gluten|en:milk|en:soybeans,24950000042
3245413200198,Las Tabletas CON CHOCOLATE BLANCO,"Carrefour,Carrefour Classic",snacks_dulces,497.0,5.8,23.0,66.0,en:gluten|en:milk|en:soybeans,24900000016
3245413058881,Las Tabletas CORAZÓN CON LECHE CHOCOLATE CON LECHE,Carrefour,snacks_dulces,515.0,6.3,26.0,63.0,en:gluten|en:milk|en:soybeans,24900000007
3270190138396,Las Tabletas POCKET CHOCOLATE CON LECHE,Carrefour,snacks_dulces,506.0,6.8,22.0,69.0,en:gluten|en:milk|en:soybeans,24950000024
3560070891443,Las Tabletas POCKET CORAZÓN CON LECHE CHOCOLATE CON LECHE,Carrefour,snacks_dulces,525.0,7.0,29.0,58.0,en:gluten|en:milk|en:soybeans,20900000002
3270190178897,Las bandejas chocolate-avellana,Carrefour,snacks_dulces,488.0,7.9,24.0,59.0,en:eggs|en:gluten|en:milk|en:nuts|en:soybeans,24950000055
8718114882475,Las sopas cebolla,Knorr,platos_preparados,18.0,0.5,0.5,2.9,en:gluten,22900000004
3560070759323,Las tabletas CHOCOLATE CON LECHE,"Carrefour,Carrefour Classic",snacks_dulces,506.0,6.8,22.0,69.0,en:gluten|en:milk|en:soybeans,24950000043
3245412738289,Lasaña,"Carrefour,Groupe Carrefour",pasta_arroz,356.0,13.0,1.8,71.0,en:gluten,24950000044
3560071240509,Lasaña,"Carrefour, Carrefour Veggie",legumbres,107.0,6.4,3.1,13.0,en:eggs|en:gluten|en:milk,22900000001
8410173072025,Lasaña Fácil,"El Pavo,Gallina Blanca",pasta_arroz,360.0,12.0,1.4,73.0,en:gluten,24950000032
8431876237351,Lasaña boloñesa,Carrefour,platos_preparados,114.0,6.0,6.0,8.5,en:celery|en:eggs|en:fish|en:gluten|en:milk|en:molluscs|en:soybeans|es:gluten-crustaceos,2
3560071157586,Lasaña boloñesa,Carrefour,platos_preparados,148.0,6.9,6.7,15.0,,1
8431876149647,Lasaña carne,Carrefour,platos_preparados,143.0,6.3,8.5,9.7,en:eggs|en:gluten|en:milk,1
3560071082994,Lasaña de atún,Carrefour,platos_preparados,126.0,6.2,5.9,12.0,en:fish|en:gluten|en:milk,2
3560071082949,Lasaña de espinacas,Carrefour,platos_preparados,132.0,3.9,6.3,15.0,en:celery|en:eggs|en:gluten|en:milk,20900000001
8436545623817,Lasaña de verduras ecológica y sin gluten,Vivibio,platos_preparados,119.0,5.0,4.7,13.0,en:celery|en:soybeans,3
8410173069605,Lasaña fácil espinacas,El Pavo,pasta_arroz,360.3,12.0,1.3,73.0,en:gluten,20900000001
3560070494316,Lasaña precocida,Carrefour,pasta_arroz,357.0,12.0,1.8,71.0,en:gluten,2
8410218202639,Latas tomate mini,Apis,aceites_salsas,23.4,0.9,0.2,3.9,,0
8431876265835,Laurel hojas,Carrefour,aceites_salsas,460.0,7.6,8.4,75.0,es:ausencia,0
3168930167952,Lay's Paysanne saveur fromage frais ail de Garonne et fines herbes,"Lay's, Lays",snacks_dulces,508.0,6.5,28.0,55.0,en:milk,24950000043
8410199380418,"Lay's, Al Punto de Sal",Lay's,snacks_dulces,509.0,6.3,29.2,52.7,,20950000009
3560071048051,Le Chocolat Gourmand,Carrefour,snacks_dulces,550.0,6.1,34.0,54.0,en:gluten|en:milk|en:nuts,21950000002
3533636760002,"Le Lait sans Lactose Léger, doux & digeste",Candia,lacteos,41.0,3.3,1.0,4.8,en:milk,24990000080
3270190026082,Le Pavé Ocre,Carrefour,yogures,327.0,20.0,27.0,1.0,en:milk,23950000005
3033490593841,Le Yoghourt Nature,Danone,yogures,51.4,3.7,1.0,6.9,en:milk,19950000002
3095754277010,Le tranché fin -25% de sel,Fleury Michon,carne,116.0,22.0,2.8,0.7,,18950000001
3560070342877,Leche,"Carrefour, Carrefour Discount",snacks_dulces,524.0,5.3,27.0,64.0,en:milk|en:soybeans,21900000003
3560070823864,Leche,"Carrefour, produits blanc",lacteos,520.0,7.0,28.0,58.0,en:milk|en:soybeans,22900000002
3560070454587,Leche,Carrefour,lacteos,524.0,5.3,27.0,64.0,en:milk,1
3560071413835,Leche,"Carrefour,Simpl",snacks_dulces,506.0,7.1,25.0,63.0,en:milk,23900000007
3560071534394,Leche,Carrefour,lacteos,520.0,7.0,28.0,58.0,en:milk|en:soybeans,1
3560071441180,Leche & cereales crujientes,"Carrefour, Simpl",snacks_dulces,483.0,7.7,21.0,64.0,en:gluten|en:milk|fr:avoine|fr:avoine,5
